The Bronx,Brooklyn,Queens,Staten Island,Manhattan
The Bronx,168050,16772,17155,2049,157203
Brooklyn,10813,417954,59711,8832,333379
Queens,17497,83772,357681,5002,339011
Staten Island,1028,28173,5368,84629,52236
Manhattan,20218,25054,19691,2720,628095
