,NT-Bronx,NT-Brooklyn,NT-Manhattan,NT-Queens,NT-StatenIsland
NT-Bronx,238666.0,21945.0,204163.0,25193.0,981.0
NT-Brooklyn,13829.0,574794.0,429343.0,70937.0,6097.0
NT-Manhattan,28865.0,27938.0,730763.0,22256.0,1175.0
NT-Queens,22300.0,89969.0,384517.0,457148.0,2576.0
NT-StatenIsland,1049.0,27763.0,48783.0,5973.0,106030.0
