# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Nov 03 16:56:31 CET 2020 [seed=1604418990202]
# TreeTime_26102020.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.NY.other	location.rates.other.NY	location.indicators.NY.other	location.indicators.other.NY	location.nonZeroRates	location.branchRates	location.treeLikelihood
0	-1900.51558141129	-122.39063087266288	-1778.1249505386272	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	-1778.1249505386272
1000	-1811.8751794869097	-249.1396555338378	-1562.7355239530718	2.0113172922065914	2.011317292206606	5.094765630976996	1.4198614852051956	1.0	1.0	2.0	0.0	-1562.7355239530718
2000	-1807.031759419899	-258.6368528366574	-1548.3949065832414	2.132395368988614	2.132395368988606	1.0941266836581156	0.29601507544929573	1.0	1.0	2.0	0.0	-1548.3949065832414
3000	-1806.513061883967	-249.57499136194838	-1556.9380705220187	2.056433955313026	2.0564339553130373	1.195979665983867	0.30538477250855806	1.0	1.0	2.0	0.0	-1556.9380705220187
4000	-1808.9856295814816	-264.80385879332636	-1544.1817707881553	2.1615067076033125	2.1615067076033165	3.2502651087757584	0.7915742697146069	1.0	1.0	2.0	0.0	-1544.1817707881553
5000	-1806.1491788263545	-250.93354428257138	-1555.2156345437832	2.069778519201671	2.069778519201673	0.9780921154153928	0.2702905406962049	1.0	1.0	2.0	0.0	-1555.2156345437832
6000	-1808.957469946015	-280.2480195938481	-1528.7094503521669	2.3100620604038125	2.310062060403835	1.2764924683597725	0.27222901702571745	1.0	1.0	2.0	0.0	-1528.7094503521669
7000	-1807.165987369383	-256.6114030722164	-1550.5545842971667	2.116604306236152	2.1166043062361615	1.0269478893037842	0.2446157030520733	1.0	1.0	2.0	0.0	-1550.5545842971667
8000	-1806.3435831687225	-255.6966058344679	-1550.6469773342546	2.116436474338007	2.1164364743380175	0.29857424417633993	0.07845903188084738	1.0	1.0	2.0	0.0	-1550.6469773342546
9000	-1809.9916974093735	-248.88015515279778	-1561.1115422565758	2.032953125460258	2.032953125460254	2.893406878939259	0.7487971280153574	1.0	1.0	2.0	0.0	-1561.1115422565758
10000	-1808.827675943714	-265.64623051590456	-1543.1814454278094	2.167397982606796	2.1673979826067744	3.35315294149638	0.819674706246767	1.0	1.0	2.0	0.0	-1543.1814454278094
11000	-1811.5922723056808	-274.15996827138594	-1537.432304034295	2.2321580612593808	2.2321580612593843	3.7896405891827705	1.0772526266250275	1.0	1.0	2.0	0.0	-1537.432304034295
12000	-1807.4696778656858	-268.8819343387849	-1538.5877435269008	2.211812009241351	2.2118120092413363	1.6065014401067994	0.43906338907447984	1.0	1.0	2.0	0.0	-1538.5877435269008
13000	-1806.70538215659	-261.43092756708216	-1545.274454589508	2.159721509849556	2.1597215098495637	0.682622362728144	0.20185278592047395	1.0	1.0	2.0	0.0	-1545.274454589508
14000	-1808.2431280022242	-274.2176215942388	-1534.0255064079854	2.2472458541869837	2.2472458541869886	2.510486326991019	0.5922955824623213	1.0	1.0	2.0	0.0	-1534.0255064079854
15000	-1805.6330905442546	-258.6563325931971	-1546.9767579510576	2.143017241354846	2.143017241354839	0.10141041683631895	0.025567677493161124	1.0	1.0	2.0	0.0	-1546.9767579510576
16000	-1807.6974657484752	-242.92569004146318	-1564.771775707012	2.003199475142108	2.003199475142111	1.050797413612371	0.23025400970402551	1.0	1.0	2.0	0.0	-1564.771775707012
17000	-1807.6768343724991	-255.56291327112632	-1552.1139211013729	2.0956984865336024	2.095698486533618	2.147058831807701	0.6005689804235961	1.0	1.0	2.0	0.0	-1552.1139211013729
18000	-1805.4487784520265	-260.49094576585605	-1544.9578326861704	2.1523981599285875	2.1523981599285813	0.6560528683839999	0.1727564805407042	1.0	1.0	2.0	0.0	-1544.9578326861704
19000	-1805.4199549489215	-264.95670078887605	-1540.4632541600454	2.1916132012153526	2.1916132012153664	0.43949498136679105	0.11980456333535709	1.0	1.0	2.0	0.0	-1540.4632541600454
20000	-1806.8848673630312	-248.88783262930548	-1557.9970347337257	2.0493459667021217	2.0493459667021217	1.3126336210329068	0.35755012482445064	1.0	1.0	2.0	0.0	-1557.9970347337257
21000	-1808.245491237044	-275.3160525216853	-1532.9294387153586	2.2646115669005447	2.2646115669005367	1.6419133051126988	0.462517009051411	1.0	1.0	2.0	0.0	-1532.9294387153586
22000	-1810.7332955461166	-267.6686749377983	-1543.0646206083184	2.1853336554012683	2.1853336554012692	3.131686108012021	0.8978396079160226	1.0	1.0	2.0	0.0	-1543.0646206083184
23000	-1809.960727893696	-255.02749035298385	-1554.933237540712	2.083737847394436	2.0837378473944432	2.7675511820924035	0.8890240617120888	1.0	1.0	2.0	0.0	-1554.933237540712
