# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Nov 03 16:56:31 CET 2020 [seed=1604418990202]
# TreeTime_26102020.xml
state	location.rates.NY.other	location.rates.other.NY	location.indicators.NY.other	location.indicators.other.NY	location.nonZeroRates
0	1.0	1.0	1.0	1.0	2.0
1000	5.094765630976996	1.4198614852051956	1.0	1.0	2.0
2000	1.0941266836581156	0.29601507544929573	1.0	1.0	2.0
3000	1.195979665983867	0.30538477250855806	1.0	1.0	2.0
4000	3.2502651087757584	0.7915742697146069	1.0	1.0	2.0
5000	0.9780921154153928	0.2702905406962049	1.0	1.0	2.0
6000	1.2764924683597725	0.27222901702571745	1.0	1.0	2.0
7000	1.0269478893037842	0.2446157030520733	1.0	1.0	2.0
8000	0.29857424417633993	0.07845903188084738	1.0	1.0	2.0
9000	2.893406878939259	0.7487971280153574	1.0	1.0	2.0
10000	3.35315294149638	0.819674706246767	1.0	1.0	2.0
11000	3.7896405891827705	1.0772526266250275	1.0	1.0	2.0
12000	1.6065014401067994	0.43906338907447984	1.0	1.0	2.0
13000	0.682622362728144	0.20185278592047395	1.0	1.0	2.0
14000	2.510486326991019	0.5922955824623213	1.0	1.0	2.0
15000	0.10141041683631895	0.025567677493161124	1.0	1.0	2.0
16000	1.050797413612371	0.23025400970402551	1.0	1.0	2.0
17000	2.147058831807701	0.6005689804235961	1.0	1.0	2.0
18000	0.6560528683839999	0.1727564805407042	1.0	1.0	2.0
19000	0.43949498136679105	0.11980456333535709	1.0	1.0	2.0
20000	1.3126336210329068	0.35755012482445064	1.0	1.0	2.0
21000	1.6419133051126988	0.462517009051411	1.0	1.0	2.0
22000	3.131686108012021	0.8978396079160226	1.0	1.0	2.0
23000	2.7675511820924035	0.8890240617120888	1.0	1.0	2.0
24000	1.2539382959378524	0.2891590510031057	1.0	1.0	2.0
25000	0.6525635625892532	0.15814812278746238	1.0	1.0	2.0
26000	3.157040980799807	0.8025292075197115	1.0	1.0	2.0
27000	0.888547130847358	0.25130208997631226	1.0	1.0	2.0
28000	1.2137883019207236	0.3372312965655913	1.0	1.0	2.0
29000	0.05483816330938312	0.015425072866449745	1.0	1.0	2.0
30000	0.7283040943671272	0.22672112188611834	1.0	1.0	2.0
31000	2.077501728291863	0.6282830527444471	1.0	1.0	2.0
32000	1.773946002510254	0.5111991921147201	1.0	1.0	2.0
33000	0.7702043733644992	0.19811182522007298	1.0	1.0	2.0
34000	0.4525831661765403	0.1262238027116952	1.0	1.0	2.0
35000	0.8278492213501103	0.18401659931247275	1.0	1.0	2.0
36000	0.9774068090904968	0.2611985516588773	1.0	1.0	2.0
37000	2.266390644830873	0.6701624431212648	1.0	1.0	2.0
38000	2.4818927545111165	0.6344008892460066	1.0	1.0	2.0
39000	1.5426747797888574	0.38838609894892223	1.0	1.0	2.0
40000	1.4060073032950895	0.4467485478432362	1.0	1.0	2.0
41000	0.31994353503581713	0.06813088332214574	1.0	1.0	2.0
42000	1.1091469512902208	0.2640200796998385	1.0	1.0	2.0
43000	0.4958269478928904	0.13498295336471103	1.0	1.0	2.0
44000	0.5208017739477124	0.12788025353280327	1.0	1.0	2.0
45000	1.9087968105329574	0.45898648061551917	1.0	1.0	2.0
46000	4.867037558167945	1.222815403849011	1.0	1.0	2.0
47000	0.337128962020315	0.09873744325239847	1.0	1.0	2.0
48000	1.803801317350729	0.444513216652357	1.0	1.0	2.0
49000	2.570984751486363	0.6728615133197532	1.0	1.0	2.0
50000	1.3094523131431774	0.3313427211712683	1.0	1.0	2.0
51000	3.139192653801639	0.8897852754328235	1.0	1.0	2.0
52000	0.6648696227410046	0.16201083982775322	1.0	1.0	2.0
53000	1.7901879520136261	0.43521870465107276	1.0	1.0	2.0
54000	2.8261566698749854	0.9448502620970572	1.0	1.0	2.0
55000	2.0398204433770415	0.4501387651015168	1.0	1.0	2.0
56000	1.6844766195098162	0.452010342140982	1.0	1.0	2.0
57000	1.254010660422643	0.2678424128471011	1.0	1.0	2.0
58000	0.3197863977315105	0.08087480959769462	1.0	1.0	2.0
59000	1.9628043217220257	0.5478691765453233	1.0	1.0	2.0
60000	2.269321261075946	0.5892579245836125	1.0	1.0	2.0
61000	1.3615791254992207	0.3121520364376433	1.0	1.0	2.0
62000	0.5738837472063214	0.13759744797998097	1.0	1.0	2.0
63000	2.3888624860919645	0.7586656753621652	1.0	1.0	2.0
64000	2.567510913455033	0.6537350931465231	1.0	1.0	2.0
65000	0.7074778216902289	0.17317563383110857	1.0	1.0	2.0
66000	0.4347859876980865	0.10382953895460115	1.0	1.0	2.0
67000	0.5242760736892341	0.14100742850924672	1.0	1.0	2.0
68000	2.6176837954087224	0.6638812556414347	1.0	1.0	2.0
69000	1.3504934207796495	0.34334858994892103	1.0	1.0	2.0
70000	0.9722272477555199	0.2507411252036565	1.0	1.0	2.0
71000	0.34392127222714025	0.07311335798852275	1.0	1.0	2.0
72000	1.4128279036377986	0.3479446383259244	1.0	1.0	2.0
73000	0.7399719935198062	0.20253059579877594	1.0	1.0	2.0
