node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel
111,195,0.00903495497226428,40.7036774850193,-73.8952451430867,40.7575316638711,-73.8865178114062,0.00903495497226428,0,2020.13954352025,2020.14857847522,779500000,NA
111,112,0.00096187022666272,40.7036774850193,-73.8952451430867,40.7001213903966,-73.9009083707648,0.00096187022666272,0,2020.13954352025,2020.14050539047,779500000,NA
112,114,0.00194939647510184,40.7001213903966,-73.9009083707648,40.7012114656069,-73.8959325984457,0.00291126670176456,0.00096187022666272,2020.14050539047,2020.14245478695,779500000,NA
112,113,0.0263327059144237,40.7001213903966,-73.9009083707648,40.7436361917185,-73.9783016904507,0.0272945761410865,0.00096187022666272,2020.14050539047,2020.16683809639,779500000,NA
113,1,0.0763313025222982,40.7436361917185,-73.9783016904507,40.7215438533111,-74.0107212261745,0.103625878663385,0.0272945761410865,2020.16683809639,2020.24316939891,779500000,hCoV-19/USA/NY-NYUMC562/2020
113,2,0.0872602642723945,40.7436361917185,-73.9783016904507,40.5755737779487,-73.9729160623158,0.114554840413481,0.0272945761410865,2020.16683809639,2020.25409836066,779500000,hCoV-19/USA/NY-NYUMC890/2020
114,115,0.00177911926667268,40.7012114656069,-73.8959325984457,40.7043632967407,-73.8855038877216,0.00469038596843724,0.00291126670176456,2020.14245478695,2020.14423390622,779500000,NA
114,192,0.0252373816878051,40.7012114656069,-73.8959325984457,40.7001913907921,-73.8229398707638,0.0281486483895697,0.00291126670176456,2020.14245478695,2020.16769216864,779500000,NA
115,175,0.00668859024962296,40.7043632967407,-73.8855038877216,40.7212757895997,-73.8797656836602,0.0113789762180602,0.00469038596843724,2020.14423390622,2020.15092249647,779500000,NA
115,116,0.00215603336427031,40.7043632967407,-73.8855038877216,40.7157456930635,-73.8953867269424,0.00684641933270755,0.00469038596843724,2020.14423390622,2020.14638993958,779500000,NA
116,117,0.00260321779774073,40.7157456930635,-73.8953867269424,40.7264075567874,-73.9075625711429,0.00944963713044827,0.00684641933270755,2020.14638993958,2020.14899315738,779500000,NA
116,132,0.00127622150444148,40.7157456930635,-73.8953867269424,40.7101501713552,-73.9060051856329,0.00812264083714903,0.00684641933270755,2020.14638993958,2020.14766616108,779500000,NA
117,118,0.0175856636237831,40.7264075567874,-73.9075625711429,40.7222751937803,-73.9141763833067,0.0270353007542313,0.00944963713044827,2020.14899315738,2020.166578821,779500000,NA
117,122,0.00210146838296377,40.7264075567874,-73.9075625711429,40.727935750152,-73.9093544373621,0.011551105513412,0.00944963713044827,2020.14899315738,2020.15109462576,779500000,NA
118,3,0.0765905779091534,40.7222751937803,-73.9141763833067,40.8819720108401,-73.866318883948,0.103625878663385,0.0270353007542313,2020.166578821,2020.24316939891,779500000,hCoV-19/USA/NY-NYUMC517/2020
118,119,0.00342175971048064,40.7222751937803,-73.9141763833067,40.736057816207,-73.9321513830153,0.030457060464712,0.0270353007542313,2020.166578821,2020.17000058071,779500000,NA
