Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,NA,NA,NA,NA
Brooklyn,NA,NA,NA,NA,NA
Manhattan,NA,NA,NA,NA,NA
Queens,2.03754619599696,2.16962135580042,1.48130744782164,NA,NA
StatenIsland,NA,NA,NA,NA,NA
