Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,7.8,2,2.7,5.3
Brooklyn,6,NA,2.6,3.8,6.1
Manhattan,6.7,4.3,NA,4.8,5.4
Queens,Inf,Inf,Inf,NA,58.9
StatenIsland,9.3,5.8,4.1,6.1,NA
