Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,3,4.7,2.5,3.9
Brooklyn,6.3,NA,3.2,3.5,11.9
Manhattan,7.7,3.6,NA,4,4.3
Queens,Inf,Inf,1811.3,NA,56.4
StatenIsland,9.7,4.7,4.3,7.3,NA
