Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,NA,NA,NA,NA
Brooklyn,NA,NA,NA,NA,NA
Manhattan,NA,NA,NA,NA,NA
Queens,2.08943481055113,2.3938688351227,1.25216811328394,NA,NA
StatenIsland,NA,NA,NA,NA,NA
