Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,0.9,NA,NA,0.4
Brooklyn,0.3,0,NA,0.1,0.8
Manhattan,0.1,0.1,0,0.1,0.1
Queens,21.1,23.6,12.5,0,3.2
StatenIsland,0,0.2,0,0,0
