Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,0,NA,NA,NA
Brooklyn,NA,NA,NA,NA,NA
Manhattan,NA,NA,NA,NA,NA
Queens,2.16613625463491,2.27492648105385,1.27182969201224,NA,NA
StatenIsland,NA,NA,NA,NA,NA
