Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,18.8,13.1,24,2.9
Brooklyn,NA,0,NA,NA,NA
Manhattan,NA,NA,0,NA,NA
Queens,NA,NA,NA,0,NA
StatenIsland,NA,NA,NA,NA,0
