Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,0.7,0.8,1.7,0.6
Brooklyn,0.5,NA,0.6,1,1.3
Manhattan,1,0.9,NA,1,1.4
Queens,NA,NA,NA,NA,0.8
StatenIsland,1.3,0.8,1,0.8,NA
