Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,NA,NA,NA,NA
Brooklyn,NA,0,NA,NA,NA
Manhattan,NA,NA,0,NA,NA
Queens,22.7,24,14,0,NA
StatenIsland,NA,NA,NA,NA,0
