Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,Inf,Inf,Inf,60.2
Brooklyn,5.6,NA,4.2,4.9,6.5
Manhattan,10.4,4,NA,4.6,5.1
Queens,10.8,4.3,9.7,NA,6.1
StatenIsland,16.7,4.3,4,4.7,NA
