Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,0.1,NA,NA,0.2
Brooklyn,0.3,0,0.4,0.1,1.4
Manhattan,0.2,0.1,0,0.1,0.2
Queens,21.8,24.4,16,0,2.8
StatenIsland,0,0,0,0,0
