Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,3,0.7,0.8,2.5
Brooklyn,0.8,NA,0.7,0.9,0.7
Manhattan,0.8,0.8,NA,0.9,2.4
Queens,Inf,Inf,Inf,NA,0.4
StatenIsland,1.2,0.8,1,0.9,NA
