Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,NA,0.5,NA,0.2
Brooklyn,0.4,0,0.2,0.1,1.2
Manhattan,0.2,0.1,0,0.1,0.1
Queens,22.6,19.9,10.3,0,3.5
StatenIsland,0,0,0,0,0
