Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,NA,NA,NA,NA
Brooklyn,18.5,0,13.7,24.1,4.6
Manhattan,NA,NA,0,NA,NA
Queens,NA,NA,NA,0,NA
StatenIsland,NA,NA,NA,NA,0
