Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,0,NA,NA,NA
Brooklyn,NA,NA,NA,NA,NA
Manhattan,NA,NA,NA,NA,NA
Queens,2.22316456868512,2.25654397056828,1.3112965038704,NA,0.494064528710776
StatenIsland,NA,NA,NA,NA,NA
