Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,2.2,0.6,1,1.5
Brooklyn,0.7,NA,0.4,0.5,0.9
Manhattan,1.1,1.1,NA,1.3,1.4
Queens,Inf,Inf,Inf,NA,0.7
StatenIsland,0.8,1.2,1,0.9,NA
