Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,NA,NA,NA,NA
Brooklyn,1.84880011218566,NA,1.40221181156256,2.3955311460527,0.51455798716359
Manhattan,NA,NA,NA,NA,NA
Queens,NA,NA,NA,NA,NA
StatenIsland,NA,NA,NA,NA,NA
