Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,Inf,Inf,Inf,12.7
Brooklyn,0.6,NA,0.6,0.7,0.8
Manhattan,1.5,1,NA,1,1
Queens,0,0,0,NA,0.1
StatenIsland,1.8,0.8,0.9,0.7,NA
