Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,2.1675238946024,1.50337071853008,2.68683011499583,0.395600107301223
Brooklyn,NA,NA,NA,NA,NA
Manhattan,NA,NA,NA,NA,NA
Queens,NA,NA,NA,NA,NA
StatenIsland,NA,NA,NA,NA,NA
