Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,0.5,1.5,0.9,0.7
Brooklyn,Inf,NA,2903.3,Inf,32.5
Manhattan,0.6,0.8,NA,0.8,0.9
Queens,0.3,0,0,NA,0
StatenIsland,0.7,1.2,1.2,0.9,NA
