Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,3,2.7,4.3,3.1
Brooklyn,4,NA,3.2,3.7,7.2
Manhattan,6.9,3.9,NA,4.3,5.6
Queens,Inf,Inf,Inf,NA,62.7
StatenIsland,11.6,4,4.3,6.1,NA
