Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,0.9,0.1,0.1,1.1
Brooklyn,0.4,0,0.1,0.1,0.2
Manhattan,0.1,0.1,0,0.1,0.6
Queens,22.4,23.8,13.2,0,3.1
StatenIsland,0,0,0,0,0
