Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,0.8,0.6,0.9,1.2
Brooklyn,0.6,NA,1.5,0.6,1.1
Manhattan,0.8,1.8,NA,0.9,1.1
Queens,2.4,2.5,1.2,NA,0.5
StatenIsland,1,1,0.9,1,NA
