Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,7.9,2.4,1.9,4.7
Brooklyn,5.9,NA,2.8,4.3,7.7
Manhattan,6.4,4.3,NA,4.5,3.6
Queens,Inf,Inf,18277.8,NA,62.3
StatenIsland,9.5,7.8,3.8,5.6,NA
