Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,10.3,2.2,2.3,10.7
Brooklyn,5.5,NA,3.2,3.9,4.2
Manhattan,5.9,3.5,NA,3.7,10.5
Queens,Inf,Inf,Inf,NA,40.7
StatenIsland,10.9,4.4,4.6,6.2,NA
