Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,NA,NA,0.2,0.2
Brooklyn,0.1,0,0.1,0.1,0.7
Manhattan,0.1,0.1,0,0.1,0.4
Queens,22.7,24,14,0,3.1
StatenIsland,0,0,0,0,0
