Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,0.5,NA,NA,0.5
Brooklyn,0.3,0,NA,0.1,0.5
Manhattan,0.1,0.2,0,0.1,0.3
Queens,22.2,22.9,13.9,0,3.3
StatenIsland,0,0,0,0,0
