Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,0.1,0.3,0.1,0.2
Brooklyn,18.5,0,13.7,24.1,4.6
Manhattan,0.2,0.1,0,0.1,0.3
Queens,3.9,0.1,0.1,0,0.1
StatenIsland,0,0,0,0,0
