NY,NY-Bronx,NY-Brooklyn,NY-Manhattan,NY-Queens,NY-StatenIsland,other
NY,0,3.4,4.5,5.3,0,3.3,6.3
NY-Bronx,0.3,0,0,0,0,0,0
NY-Brooklyn,121.4,23.9,0,89.2,90.4,15.5,296.7
NY-Manhattan,0.1,0,2,0,3.6,0,6.1
NY-Queens,9.9,0,5.5,0.1,0,0.3,2.2
NY-StatenIsland,0,0,0,1,0,0,0
other,39.6,8.7,69.6,28.7,24,4,0
