trait	location	collection_date
hCoV-19/Japan/PG-0378/2020|EPI_ISL_480048|2020-02-26|Asia	other	2020-02-26
hCoV-19/Australia/NSW01/2020|EPI_ISL_407893|2020-01-24|Oceania	other	2020-01-24
hCoV-19/Taiwan/3/2020|EPI_ISL_411926|2020-01-24|Asia	other	2020-01-24
hCoV-19/Belgium/GHB-03021/2020|EPI_ISL_407976|2020-02-03|Europe	other	2020-02-03
hCoV-19/SaudiArabia/KAUST-JEDDAH479/2020|EPI_ISL_512928|2020-04-01|Asia	other	2020-04-01
hCoV-19/Portugal/PT0671/2020|EPI_ISL_510930|2020-04-02|Europe	other	2020-04-02
hCoV-19/Mexico/QUE-InDRE-04/2020|EPI_ISL_424670|2020-03-10|NorthAmerica	other	2020-03-10
hCoV-19/Mexico/QUE-InDRE-18/2020|EPI_ISL_455456|2020-03-12|NorthAmerica	other	2020-03-12
hCoV-19/Spain/MD-IBV-004897/2020|EPI_ISL_481107|2020-05-03|Europe	other	2020-05-03
hCoV-19/Mexico/CMX-InDRE_03/2020|EPI_ISL_424667|2020-03-04|NorthAmerica	other	2020-03-04
hCoV-19/Uruguay/Mdeo-1/2020|EPI_ISL_444493|2020-03-13|SouthAmerica	other	2020-03-13
hCoV-19/Uruguay/UY-NYUMC869/2020|EPI_ISL_457965|2020-04-03|SouthAmerica	other	2020-04-03
hCoV-19/Uruguay/UY-NYUMC862/2020|EPI_ISL_457958|2020-03-25|SouthAmerica	other	2020-03-25
hCoV-19/Uruguay/UY-NYUMC860/2020|EPI_ISL_457956|2020-03-25|SouthAmerica	other	2020-03-25
hCoV-19/Canada/NL_72/2020|EPI_ISL_482479|2020-03-19|NorthAmerica	other	2020-03-19
hCoV-19/Australia/QLD02/2020|EPI_ISL_407896|2020-01-30|Oceania	other	2020-01-30
hCoV-19/Australia/VIC07/2020|EPI_ISL_416415|2020-02-08|Oceania	other	2020-02-08
hCoV-19/SierraLeone/KGH-G-8668/2020|EPI_ISL_512819|2020-04-11|Africa	other	2020-04-11
hCoV-19/SierraLeone/KGH-G-8626/2020|EPI_ISL_512817|2020-04-10|Africa	other	2020-04-10
hCoV-19/Tunisia/COV0010-12/2020|EPI_ISL_463001|2020-03-18|Africa	other	2020-03-18
hCoV-19/Mali/M002644/2020|EPI_ISL_487450|2020-04-08|Africa	other	2020-04-08
hCoV-19/Egypt/MASRI-009/2020|EPI_ISL_483035|2020-04-30|Africa	other	2020-04-30
hCoV-19/Tunisia/MHT_2/2020|EPI_ISL_458286|2020-03-24|Africa	other	2020-03-24
hCoV-19/Benin/2012/2020|EPI_ISL_476831|2020-04-15|Africa	other	2020-04-15
hCoV-19/Ghana/84162_S45/2020|EPI_ISL_515103|2020-04-25|Africa	other	2020-04-25
hCoV-19/Nigeria/KW298-CV48/2020|EPI_ISL_487107|2020-05-08|Africa	other	2020-05-08
hCoV-19/Benin/1950/2020|EPI_ISL_476830|2020-04-15|Africa	other	2020-04-15
hCoV-19/USA/VA_6171/2020|EPI_ISL_424907|2020-03-06|NorthAmerica	other	2020-03-06
hCoV-19/Bahrein/BAH-24/2020|EPI_ISL_483638|2020-04-07|Asia	other	2020-04-07
hCoV-19/Gabon/ITM-K011/2020|EPI_ISL_539573|2020-03-22|Africa	other	2020-03-22
hCoV-19/Australia/QLD01/2020|EPI_ISL_407894|2020-01-28|Oceania	other	2020-01-28
hCoV-19/Singapore/466/2020|EPI_ISL_475997|2020-01-31|Asia	other	2020-01-31
hCoV-19/Australia/QLD04/2020|EPI_ISL_410718|2020-02-05|Oceania	other	2020-02-05
hCoV-19/Ghana/TTH10/2020|EPI_ISL_515182|2020-03-27|Africa	other	2020-03-27
hCoV-19/Mali/M002704/2020|EPI_ISL_487460|2020-04-12|Africa	other	2020-04-12
hCoV-19/USA/NY-NYUMC102/2020	NY-Brooklyn	2020-03-18
hCoV-19/USA/NY-NYUMC35/2020	NY-Manhattan	2020-03-18
hCoV-19/USA/NY-NYUMC535/2020	NY-Queens	2020-03-30
hCoV-19/USA/NY-NYUMC37/2020	NY-Manhattan	2020-03-18
hCoV-19/Uganda/UG002/2020|EPI_ISL_451184|2020-03-26|Africa	other	2020-03-26
hCoV-19/Uganda/UG001/2020|EPI_ISL_451183|2020-03-25|Africa	other	2020-03-25
hCoV-19/UnitedArabEmirates/L920663561/2020|EPI_ISL_520734|2020-04-14|Asia	other	2020-04-14
hCoV-19/Gabon/ITM-K027/2020|EPI_ISL_539575|2020-03-27|Africa	other	2020-03-27
hCoV-19/Jordan/SR-0336/2020|EPI_ISL_450188|2020-04-06|Asia	other	2020-04-06
hCoV-19/UnitedArabEmirates/L920647430/2020|EPI_ISL_520733|2020-04-07|Asia	other	2020-04-07
hCoV-19/Uganda/UG017/2020|EPI_ISL_451199|2020-04-20|Africa	other	2020-04-20
hCoV-19/Nigeria/ED06-CV159/2020|EPI_ISL_527877|2020-03-25|Africa	other	2020-03-25
hCoV-19/Nigeria/ED04-CV158/2020|EPI_ISL_527876|2020-03-25|Africa	other	2020-03-25
hCoV-19/USA/IL-UW-149/2020|EPI_ISL_427456|2020-04-07|NorthAmerica	other	2020-04-07
hCoV-19/USA/WI-UW-71/2020|EPI_ISL_421329|2020-03-24|NorthAmerica	other	2020-03-24
hCoV-19/Thailand/SI202620-NT/2020|EPI_ISL_437615|2020-02-22|Asia	other	2020-02-22
hCoV-19/Thailand/Bangkok-0083/2020|EPI_ISL_447024|2020-04-02|Asia	other	2020-04-02
hCoV-19/Malaysia/MKAK-CL-2020-5096/2020|EPI_ISL_416885|2020-01-30|Asia	other	2020-01-30
hCoV-19/Malaysia/IMR_WC119/2020|EPI_ISL_455790|2020-01-30|Asia	other	2020-01-30
hCoV-19/USA/IL-NM0105/2020|EPI_ISL_444590|2020-03-20|NorthAmerica	other	2020-03-20
hCoV-19/Panama/332252/2020|EPI_ISL_496706|2020-03-23|NorthAmerica	other	2020-03-23
hCoV-19/USA/CA-CDC-1/2020|EPI_ISL_406034|2020-01-23|NorthAmerica	other	2020-01-23
hCoV-19/Vietnam/38142/2020|EPI_ISL_416427|2020-01-24|Asia	other	2020-01-24
hCoV-19/Vietnam/VR03-38142/2020|EPI_ISL_408668|2020-01-24|Asia	other	2020-01-24
hCoV-19/SouthKorea/KCDC2013/2020|EPI_ISL_426183|2020-02-23|Asia	other	2020-02-23
hCoV-19/USA/IL2/2020|EPI_ISL_410045|2020-01-28|NorthAmerica	other	2020-01-28
hCoV-19/USA/SC-DHEC-0064/2020|EPI_ISL_529175|2020-03-30|NorthAmerica	other	2020-03-30
hCoV-19/Canada/NB_271/2020|EPI_ISL_481756|2020-04-10|NorthAmerica	other	2020-04-10
hCoV-19/USA/SC-DHEC-0032/2020|EPI_ISL_529174|2020-03-20|NorthAmerica	other	2020-03-20
hCoV-19/USA/SC_6370/2020|EPI_ISL_424888|2020-03-08|NorthAmerica	other	2020-03-08
