NY,NY.Bronx,NY.Brooklyn,NY.Manhattan,NY.Queens,NY.StatenIsland,other
NY,NA,0.190825823261842,0.237969058841949,0.301912285310473,NA,0.18602480671999,NA
NY.Bronx,0,NA,NA,NA,NA,NA,NA
NY.Brooklyn,3.17044632963465,0.636014470492365,NA,2.32374062945948,2.33864902256375,0.419862084808536,7.76859951770887
NY.Manhattan,NA,NA,NA,NA,0.217424220139552,NA,NA
NY.Queens,0.537117100468438,NA,0.312844306437213,NA,NA,NA,NA
NY.StatenIsland,NA,NA,NA,0.0937235596764754,NA,NA,NA
other,0.425772299398709,0.0979050200906559,0.734822761453467,0.310765770792021,0.251435306945883,0.0479147805744653,NA
