NY,NY-Bronx,NY-Brooklyn,NY-Manhattan,NY-Queens,NY-StatenIsland,other
NY,0,3.37777777777778,4.46111111111111,5.32777777777778,NA,3.32222222222222,NA
NY-Bronx,0.286666666666667,0,NA,NA,NA,NA,NA
NY-Brooklyn,121.37,23.8933333333333,0,89.1555555555556,90.3922222222222,15.4711111111111,296.666666666667
NY-Manhattan,NA,NA,NA,0,3.63,NA,NA
NY-Queens,9.89555555555556,NA,5.51222222222222,NA,0,NA,NA
NY-StatenIsland,NA,NA,NA,1.03444444444444,NA,0,NA
other,39.5811111111111,8.74666666666667,69.6088888888889,28.7166666666667,23.9822222222222,3.98333333333333,0
