extract_date,specimen_date,Number_tested,Number_confirmed,Number_hospitalized,Number_deaths
04/03/2020,03/27/2020,5187,3513,810,107
04/03/2020,03/28/2020,3255,2350,702,69
04/03/2020,03/29/2020,3556,2579,728,71
04/03/2020,03/30/2020,5637,3938,863,54
04/03/2020,03/31/2020,4298,2927,711,25
04/03/2020,04/01/2020,4038,2602,573,5
04/03/2020,04/02/2020,1951,934,158,0
04/03/2020,04/03/2020,10,4,0,0
04/04/2020,01/29/2020,1,0,0,0
04/04/2020,02/02/2020,2,0,0,0
04/04/2020,02/04/2020,1,0,0,0
04/04/2020,02/05/2020,1,0,0,0
04/04/2020,02/08/2020,1,0,0,0
04/04/2020,02/23/2020,1,1,1,0
04/04/2020,02/26/2020,1,0,0,0
04/04/2020,02/27/2020,2,0,0,1
04/04/2020,02/29/2020,3,1,0,0
04/04/2020,03/01/2020,1,0,0,0
04/04/2020,03/02/2020,3,0,0,0
04/04/2020,03/03/2020,9,0,0,0
04/04/2020,03/04/2020,35,5,4,1
04/04/2020,03/05/2020,54,3,1,0
04/04/2020,03/06/2020,39,7,2,0
04/04/2020,03/07/2020,40,7,5,1
04/04/2020,03/08/2020,95,20,14,2
04/04/2020,03/09/2020,259,57,23,8
04/04/2020,03/10/2020,387,67,31,3
04/04/2020,03/11/2020,702,153,48,14
04/04/2020,03/12/2020,1404,352,63,11
04/04/2020,03/13/2020,2062,609,148,22
04/04/2020,03/14/2020,1566,624,182,37
04/04/2020,03/15/2020,2263,1002,227,56
04/04/2020,03/16/2020,4608,2028,369,62
04/04/2020,03/17/2020,5271,2332,370,77
04/04/2020,03/18/2020,5869,2785,439,85
04/04/2020,03/19/2020,7178,3457,540,117
04/04/2020,03/20/2020,7055,3686,607,130
04/04/2020,03/21/2020,3421,2175,532,112
04/04/2020,03/22/2020,3113,2056,562,111
04/04/2020,03/23/2020,4833,3099,699,146
04/04/2020,03/24/2020,5309,3524,749,174
04/04/2020,03/25/2020,5555,3830,796,165
04/04/2020,03/26/2020,5679,3950,869,155
04/04/2020,03/27/2020,5410,3721,841,147
04/04/2020,03/28/2020,3310,2388,724,122
04/04/2020,03/29/2020,3644,2639,752,103
04/04/2020,03/30/2020,6206,4307,895,103
04/04/2020,03/31/2020,5168,3464,762,66
04/04/2020,04/01/2020,4968,3142,728,32
04/04/2020,04/02/2020,5693,3451,678,15
04/04/2020,04/03/2020,2796,1454,36,1
04/04/2020,04/04/2020,78,41,0,0
04/05/2020,01/29/2020,1,0,0,0
04/05/2020,02/02/2020,2,0,0,0
04/05/2020,02/04/2020,1,0,0,0
04/05/2020,02/05/2020,1,0,0,0
04/05/2020,02/08/2020,1,0,0,0
04/05/2020,02/23/2020,1,1,1,0
04/05/2020,02/26/2020,1,0,0,0
04/05/2020,02/27/2020,2,0,0,1
04/05/2020,02/29/2020,3,1,0,0
04/05/2020,03/01/2020,1,0,0,0
04/05/2020,03/02/2020,3,0,0,0
04/05/2020,03/03/2020,9,0,0,0
04/05/2020,03/04/2020,35,5,4,1
04/05/2020,03/05/2020,54,3,1,0
04/05/2020,03/06/2020,39,7,2,0
04/05/2020,03/07/2020,40,7,5,1
04/05/2020,03/08/2020,95,20,14,2
04/05/2020,03/09/2020,259,57,23,8
04/05/2020,03/10/2020,387,67,31,3
04/05/2020,03/11/2020,702,153,48,14
04/05/2020,03/12/2020,1404,352,63,11
04/05/2020,03/13/2020,2061,609,148,22
04/05/2020,03/14/2020,1565,624,182,37
04/05/2020,03/15/2020,2263,1002,227,56
04/05/2020,03/16/2020,4606,2028,369,64
04/05/2020,03/17/2020,5270,2332,370,81
04/05/2020,03/18/2020,5868,2785,439,86
04/05/2020,03/19/2020,7170,3457,541,119
04/05/2020,03/20/2020,7056,3688,608,135
04/05/2020,03/21/2020,3421,2175,533,117
04/05/2020,03/22/2020,3113,2056,563,115
04/05/2020,03/23/2020,4844,3101,701,152
04/05/2020,03/24/2020,5311,3525,755,183
04/05/2020,03/25/2020,5557,3832,800,174
04/05/2020,03/26/2020,5690,3962,882,169
04/05/2020,03/27/2020,5701,4014,875,160
