name,Strain,gisaid_epi_isl,Collection Data,Region,Country,Admin Division,Region of exposure,Country of exposure,Division of exposure
hCoV-19/Wuhan/WH01/2019|EPI_ISL_406798|2019-12-26|Asia,Wuhan/WH01/2019,EPI_ISL_406798,2019-12-26,Asia,Asia,Asia,Asia,Asia,
hCoV-19/Wuhan/HBCDC-HB-02/2019|EPI_ISL_412898|2019-12-30|Asia,Wuhan/HBCDC-HB-02/2019,EPI_ISL_412898,2019-12-30,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/CA-CDC-8/2020|EPI_ISL_411955|2020-02-10|NorthAmerica,USA/CA-CDC-8/2020,EPI_ISL_411955,2020-02-10,North America,USA,California,North America,USA,
hCoV-19/Wuhan/IME-WH03/2020|EPI_ISL_529215|2019-12-30|Asia,Wuhan/IME-WH03/2020,EPI_ISL_529215,2019-12-30,Asia,Asia,Asia,Asia,Asia,
hCoV-19/USA/CA2/2020|EPI_ISL_406036|2020-01-22|NorthAmerica,USA/CA2/2020,EPI_ISL_406036,2020-01-22,North America,USA,California,Asia,Asia,Asia
hCoV-19/Sweden/20-02114/2020|EPI_ISL_476139|2020-01-31|Europe,Sweden/20-02114/2020,EPI_ISL_476139,2020-01-31,Europe,Europe,Europe,Europe,Europe,
hCoV-19/France/IDF-0372-isl/2020|EPI_ISL_410720|2020-01-23|Europe,France/IDF-0372-isl/2020,EPI_ISL_410720,2020-01-23,Europe,Europe,Europe,Europe,Europe,
hCoV-19/France/IDF-0386-islP1/2020|EPI_ISL_411219|2020-01-28|Europe,France/IDF-0386-islP1/2020,EPI_ISL_411219,2020-01-28,Europe,Europe,Europe,Europe,Europe,
hCoV-19/USA/MA1/2020|EPI_ISL_409067|2020-01-29|NorthAmerica,USA/MA1/2020,EPI_ISL_409067,2020-01-29,North America,USA,Massachusetts,Asia,Asia,Asia
hCoV-19/Canada/ON_VIDO-01/2020|EPI_ISL_413015|2020-01-23|NorthAmerica,Canada/ON_VIDO-01/2020,EPI_ISL_413015,2020-01-23,North America,Canada,Ontario,Asia,Asia,Asia
hCoV-19/Canada/ON_ON-VIDO-01-2/2020|EPI_ISL_425177|2020-01-23|NorthAmerica,Canada/ON_ON-VIDO-01-2/2020,EPI_ISL_425177,2020-01-23,North America,Canada,Ontario,North America,Canada,
hCoV-19/USA/CA-CDC-3/2020|EPI_ISL_408008|2020-01-29|NorthAmerica,USA/CA-CDC-3/2020,EPI_ISL_408008,2020-01-29,North America,USA,California,North America,USA,
hCoV-19/USA/CA-CDC-4/2020|EPI_ISL_408009|2020-01-29|NorthAmerica,USA/CA-CDC-4/2020,EPI_ISL_408009,2020-01-29,North America,USA,California,North America,USA,
hCoV-19/USA/CA-CDC-5/2020|EPI_ISL_408010|2020-01-29|NorthAmerica,USA/CA-CDC-5/2020,EPI_ISL_408010,2020-01-29,North America,USA,California,Asia,Asia,Asia
hCoV-19/Wuhan/Hu-1/2019|EPI_ISL_402125|2019-12-31|Asia,Wuhan/Hu-1/2019,EPI_ISL_402125,2019-12-26,Asia,Asia,Asia,Asia,Asia,
