node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel
111,127,0.00403305167426174,40.7247028633862,-73.9053935670404,40.7321163344963,-73.9098512248297,0.00403305167426174,0,2020.14088941143,2020.1449224631,496900000,NA
111,112,0.00634184055495704,40.7247028633862,-73.9053935670404,40.7555899247215,-73.8712505734137,0.00634184055495704,0,2020.14088941143,2020.14723125198,496900000,NA
112,113,0.00570304703819077,40.7555899247215,-73.8712505734137,40.775108529138,-73.8608853970584,0.0120448875931478,0.00634184055495704,2020.14723125198,2020.15293429902,496900000,NA
112,121,0.0165272242146483,40.7555899247215,-73.8712505734137,40.7788039338421,-73.8914984543079,0.0228690647696053,0.00634184055495704,2020.14723125198,2020.1637584762,496900000,NA
113,1,0.0929673403170427,40.775108529138,-73.8608853970584,40.7790452494831,-73.9093402245291,0.10501222791019,0.0120448875931478,2020.15293429902,2020.24590163934,496900000,hCoV-19/USA/NY-NYUMC589/2020
113,114,0.00245252501391333,40.775108529138,-73.8608853970584,40.8025621238724,-73.8297808200833,0.0144974126070611,0.0120448875931478,2020.15293429902,2020.15538682403,496900000,NA
114,115,0.0252240793518058,40.8025621238724,-73.8297808200833,40.7900952969791,-73.8736614817333,0.039721491958867,0.0144974126070611,2020.15538682403,2020.18061090338,496900000,NA
114,117,0.00657607475130667,40.8025621238724,-73.8297808200833,40.7775697865332,-73.8534718053512,0.0210734873583678,0.0144974126070611,2020.15538682403,2020.16196289878,496900000,NA
115,2,0.0680229763914056,40.7900952969791,-73.8736614817333,40.8299470562498,-73.9078920040658,0.107744468350273,0.039721491958867,2020.18061090338,2020.24863387978,496900000,hCoV-19/USA/NY-NYUMC199/2020
115,116,0.0109864890230905,40.7900952969791,-73.8736614817333,40.7891322681736,-73.8429741766583,0.0507079809819575,0.039721491958867,2020.18061090338,2020.19159739241,496900000,NA
116,4,0.0433752851881412,40.7891322681736,-73.8429741766583,40.8177010134899,-73.8312716311785,0.0940832661700987,0.0507079809819575,2020.19159739241,2020.2349726776,496900000,hCoV-19/USA/NY-NYUMC825/2020
116,3,0.10894905567826,40.7891322681736,-73.8429741766583,40.7669725010674,-73.8104108821342,0.159657036660217,0.0507079809819575,2020.19159739241,2020.30054644809,496900000,hCoV-19/USA/NY-NYUMC436/2020
117,119,0.0137424935613277,40.7775697865332,-73.8534718053512,40.8223454590333,-73.8602337270097,0.0348159809196955,0.0210734873583678,2020.16196289878,2020.17570539235,496900000,NA
117,118,0.00290414405824513,40.7775697865332,-73.8534718053512,40.7517919525744,-73.8615063554576,0.0239776314166129,0.0210734873583678,2020.16196289878,2020.16486704284,496900000,NA
118,6,0.0837668369336596,40.7517919525744,-73.8615063554576,40.7840291556198,-73.7778524648704,0.107744468350273,0.0239776314166129,2020.16486704284,2020.24863387978,496900000,hCoV-19/USA/NY-NYUMC593/2020
118,5,0.0783023560635,40.7517919525744,-73.8615063554576,40.6978435816112,-73.9920923338634,0.102279987480113,0.0239776314166129,2020.16486704284,2020.24316939891,496900000,hCoV-19/USA/NY-NYUMC319/2020
119,9,0.0674640065604174,40.8223454590333,-73.8602337270097,40.8918671142442,-73.8595977191749,0.102279987480113,0.0348159809196955,2020.17570539235,2020.24316939891,496900000,hCoV-19/USA/NY-NYUMC524/2020
119,120,0.0163041131687469,40.8223454590333,-73.8602337270097,40.7254959917005,-73.8884462850613,0.0511200940884424,0.0348159809196955,2020.17570539235,2020.19200950551,496900000,NA
120,8,0.0402309316418016,40.7254959917005,-73.8884462850613,40.7214057032357,-73.7989507193224,0.091351025730244,0.0511200940884424,2020.19200950551,2020.23224043716,496900000,hCoV-19/USA/NY-NYUMC706/2020
120,7,0.0429631720816563,40.7254959917005,-73.8884462850613,40.5886407162506,-73.9711411966013,0.0940832661700987,0.0511200940884424,2020.19200950551,2020.2349726776,496900000,hCoV-19/USA/NY-NYUMC796/2020
121,125,0.00162015188451878,40.7788039338421,-73.8914984543079,40.7890471392662,-73.8895295169521,0.0244892166541241,0.0228690647696053,2020.1637584762,2020.16537862808,496900000,NA
121,122,0.000598822867382387,40.7788039338421,-73.8914984543079,40.7685393481121,-73.8825056762462,0.0234678876369877,0.0228690647696053,2020.1637584762,2020.16435729906,496900000,NA
122,123,0.0177301514995557,40.7685393481121,-73.8825056762462,40.7703095224536,-73.8899808722481,0.0411980391365434,0.0234678876369877,2020.16435729906,2020.18208745056,496900000,NA
122,124,0.00554679953881329,40.7685393481121,-73.8825056762462,40.7255789642533,-73.9064707626864,0.029014687175801,0.0234678876369877,2020.16435729906,2020.1699040986,496900000,NA
123,11,0.0692786696535838,40.7703095224536,-73.8899808722481,40.8711540442832,-73.9180528692027,0.110476708790127,0.0411980391365434,2020.18208745056,2020.25136612022,496900000,hCoV-19/USA/NY-NYUMC620/2020
123,10,0.0474207461536186,40.7703095224536,-73.8899808722481,40.6274803931168,-74.0026948483706,0.088618785290162,0.0411980391365434,2020.18208745056,2020.22950819672,496900000,hCoV-19/USA/NY-NYUMC826/2020
124,12,0.0732653003043119,40.7255789642533,-73.9064707626864,40.7703629277398,-73.9485793622217,0.102279987480113,0.029014687175801,2020.1699040986,2020.24316939891,496900000,hCoV-19/USA/NY-NYUMC312/2020
124,13,0.0787297811744715,40.7255789642533,-73.9064707626864,40.7685584239299,-73.8784796049089,0.107744468350273,0.029014687175801,2020.1699040986,2020.24863387978,496900000,hCoV-19/USA/NY-NYUMC193/2020
