Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,3.2,2.8,2.3,3.2
Brooklyn,5.3,NA,5.3,3.2,12.2
Manhattan,7.1,3.5,NA,4,4.4
Queens,Inf,Inf,Inf,NA,37.8
StatenIsland,10.9,4.5,4.1,6.2,NA
