Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,17.8,2,5.1,3.1
Brooklyn,4.5,NA,3.3,14.9,2.8
Manhattan,4.6,7.2,NA,6.9,3.7
Queens,Inf,Inf,Inf,NA,314.4
StatenIsland,7.3,5.2,4.9,8.7,NA
