Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,2,NA,0.6,0.2
Brooklyn,0.3,0,0.2,1.1,NA
Manhattan,0.1,0.4,0,0.4,0.1
Queens,21.1,21.9,12.4,0,4.2
StatenIsland,0,0,0,0.2,0
