Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,2.2,0.7,0.7,1.1
Brooklyn,0.5,NA,0.4,0.7,1
Manhattan,1,0.9,NA,1,0.7
Queens,Inf,Inf,77.5,NA,1
StatenIsland,1.1,1.6,0.8,0.9,NA
