Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,NA,NA,NA,NA
Brooklyn,NA,NA,NA,NA,NA
Manhattan,NA,NA,NA,NA,NA
Queens,2.05005389955991,2.23841133893056,1.35763436161497,NA,NA
StatenIsland,NA,NA,NA,NA,NA
