Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,NA,NA,NA,NA
Brooklyn,NA,NA,NA,NA,NA
Manhattan,NA,NA,NA,NA,NA
Queens,NA,NA,NA,NA,NA
StatenIsland,NA,NA,NA,NA,NA
