Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,18.8,13.1,24,2.9
Brooklyn,0.2,0,0.1,0.2,0.5
Manhattan,0.1,0.1,0,0.1,0.2
Queens,0.4,0.2,0.6,0,0.5
StatenIsland,0,0,0,0,0
