Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,0.2,NA,0.2,0.4
Brooklyn,1.4,0,1.6,1.4,1
Manhattan,0.1,0.4,0,0.1,0.3
Queens,21,22.1,9.1,0,2.2
StatenIsland,0,0,0,0,0
