state	from	to	time
14850000	Queens	Bronx	0.17239579643485586
14850000	Queens	StatenIsland	0.15090641944043875
14850000	Queens	Bronx	0.1794020633206594
14850000	Queens	Brooklyn	0.17474401949060359
14850000	Queens	Bronx	0.17258330835677207
14850000	Queens	Manhattan	0.13001693076154247
14850000	Queens	Brooklyn	0.12421702225973454
14850000	Queens	Brooklyn	0.1687002125390317
14850000	Queens	Brooklyn	0.16539440753139784
14850000	Queens	Bronx	0.17869149401029177
14850000	Queens	Brooklyn	0.1790926953644808
14850000	Queens	Manhattan	0.18865216123629727
14850000	Queens	Manhattan	0.17451116174045447
14850000	Queens	Bronx	0.14296147720892266
14850000	Queens	Brooklyn	0.16334039870091863
14850000	Brooklyn	StatenIsland	0.17032195436330186
14850000	Queens	Brooklyn	0.16678034001451963
14850000	Queens	Brooklyn	0.14284894726802294
14850000	Queens	Brooklyn	0.17951338947520257
14850000	Queens	Manhattan	0.1602329490945657
14850000	Queens	Bronx	0.12231158993177621
14850000	Queens	Manhattan	0.09965732167521844
14850000	Queens	Brooklyn	0.18663767436850756
14850000	Queens	Bronx	0.1585949908723181
14850000	Queens	Brooklyn	0.1532993623856711
14850000	Queens	Brooklyn	0.12746432290638254
14850000	Queens	Brooklyn	0.16127449187569973
14850000	Queens	Manhattan	0.1568630215060186
14850000	Queens	Manhattan	0.18271619733902797
14850000	Queens	Brooklyn	0.12820410167240726
14850000	Queens	Brooklyn	0.14614975134045624
14850000	Queens	Manhattan	0.16223171148186483
14850000	Queens	Bronx	0.16731344018972952
14850000	Queens	Manhattan	0.13945517799327073
14850000	Queens	Manhattan	0.1547723400420271
14850000	Queens	Brooklyn	0.17786925585254718
14850000	Queens	Manhattan	0.13683380064574452
14850000	Queens	Bronx	0.12603517885671744
14850000	Queens	Brooklyn	0.14142990372099493
14850000	Queens	Bronx	0.16513093570274645
14850000	Queens	Manhattan	0.1372720353163141
14850000	Queens	Manhattan	0.13579236231365693
14850000	Queens	Bronx	0.17437207182060174
14850000	Queens	Bronx	0.1279064805264469
14850000	Queens	Bronx	0.14718832523735872
14850000	Queens	Bronx	0.1248835155731121
14850000	Queens	Bronx	0.17158387193035257
14850000	Queens	StatenIsland	0.08268692301735886
14850000	Queens	Bronx	0.15243010267381252
14850000	Queens	Manhattan	0.1763134410953069
14850000	Queens	Bronx	0.15332035300204294
14850000	Queens	StatenIsland	0.16773025564162722
14850000	Queens	Bronx	0.17319828412885818
14850000	Queens	Manhattan	0.14121703674100014
14850000	Queens	Bronx	0.17492926777251838
