Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,2,NA,NA,NA
Brooklyn,NA,0,NA,NA,NA
Manhattan,NA,NA,0,NA,NA
Queens,21.1,21.9,12.4,0,4.2
StatenIsland,NA,NA,NA,NA,0
