Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,0,NA,NA,NA,NA
Brooklyn,NA,0,NA,NA,NA
Manhattan,NA,NA,0,NA,NA
Queens,22.2,22.9,13.9,0,NA
StatenIsland,NA,NA,NA,NA,0
