Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,2.1,5.4,3,3.7
Brooklyn,Inf,NA,18277.8,Inf,254.8
Manhattan,4.7,3.9,NA,3.9,4.7
Queens,121.4,2.6,1.8,NA,1.7
StatenIsland,6.6,6.3,5.3,6.2,NA
