Bronx,Brooklyn,Manhattan,Queens,StatenIsland
Bronx,NA,3.5,2.3,3.3,5.3
Brooklyn,7.8,NA,11.6,4.8,9.6
Manhattan,5.3,7,NA,3.9,5.2
Queens,713.5,476.2,243.1,NA,31.2
StatenIsland,9.4,5,4.8,6.6,NA
